grape_code,grape,sinonimi
0,TESOLA NERA,
1,ABBUOTO,
2,AGLIANICO,AGLIANICO DEL VULTURE
3,AGLIANICONE,
4,ALBANA,
5,ALBANELLO,
6,ALBARANZEULI BIANCO,
7,ALBARANZEULI NERO,
8,ALBAROLA,BIANCHETTA GENOVESE
9,ALEATICO,
10,ALICANTE,CANNONAU
11,ALICANTE BOUSCHET,
12,ANCELLOTTA,LANCELLOTTA
13,ANSONICA,INZOLIA 
14,ARNEIS,
15,ARVESINIADU,
16,ASPRINIO BIANCO,GRECO
17,AVANA',
18,AVARENGO,
19,BARBERA,
20,BARBERA BIANCA,
21,BARBERA SARDA,
22,BARSAGLINA,MASSARETTA
23,BELLONE,CACCHIONE
24,BERVEDINO,VERNACCIA DI S. GIMIGNANO
25,BIANCAME,TREBBIANO TOSCANO
26,BIANCHETTA GENOVESE,ALBAROLA
27,BIANCHETTA TREVIGIANA,
28,BIANCO D'ALESSANO,
29,BIANCOLELLA,JANCULILLO
30,BIANCONE,
32,BOMBINO BIANCO,OTTENESE
33,BOMBINO NERO,BOMBINO
34,BONAMICO,
35,BONARDA,UVA RARA 
36,BOSCO,
37,BOVALE GRANDE,CARIGNANO
38,BOVALE,BOVALEDDU
39,BRACCIOLA NERA,
40,BRACHETTO,
42,CABERNET FRANC,CABERNET
43,CABERNET SAUVIGNON,CABERNET
44,CADDIU,
45,CAGNULARI,CAGNIULARI
46,CALABRESE,NERO D'AVOLA
47,CALORIA,
48,CANAIOLO BIANCO,DRUPEGGIO
49,CANAIOLO NERO,
50,CANINA NERA,
51,CANNONAU,ALICANTE
52,CARICAGIOLA,
53,CARICA L'ASINO,
54,CARIGNANO,BOVALE GRANDE
55,CARRICANTE,
56,CASTIGLIONE,
57,CATANESE NERO,
58,CATARRATTO BIANCO COMUNE,CATARRATTO
59,CATARRATTO BIANCO LUCIDO,CATARRATTO*  LUCIDO
60,CESANESE COMUNE,CESANESE
61,CESANESE D AFFILE,
62,CILIEGIOLO,MORETTONE
63,CLAIRETTE,
64,COCOCCIOLA,
65,CODA DI VOLPE BIANCA,CODA DI VOLPE
66,COLOMBANA NERA,
67,COLORINO,
68,CORINTO NERO,
69,CORTESE,BIANCA FERNANDA 
